obsID,SA3,SA8
184,ter. locomotion,forage
185,ter. locomotion,forage
186,ter. locomotion,forage
187,ter. locomotion,forage
188,no locomotion,sit
189,ter. locomotion,forage
190,ter. locomotion,forage
191,ter. locomotion,forage
192,ter. locomotion,forage
193,ter. locomotion,forage
194,ter. locomotion,forage
195,ter. locomotion,forage
196,ter. locomotion,forage
197,ter. locomotion,forage
198,no locomotion,stand
199,no locomotion,body care
200,no locomotion,body care
201,no locomotion,stand
202,no locomotion,stand
203,no locomotion,body care
204,no locomotion,body care
205,no locomotion,stand
206,no locomotion,body care
207,no locomotion,stand
208,no locomotion,body care
209,no locomotion,stand
210,no locomotion,stand
211,no locomotion,stand
212,no locomotion,body care
213,no locomotion,body care
214,no locomotion,stand
215,no locomotion,stand
216,no locomotion,stand
217,no locomotion,stand
218,no locomotion,stand
219,no locomotion,body care
220,no locomotion,stand
221,no locomotion,stand
222,no locomotion,stand
223,no locomotion,body care
224,no locomotion,stand
225,no locomotion,stand
226,no locomotion,stand
227,ter. locomotion,forage
228,ter. locomotion,forage
229,ter. locomotion,forage
230,ter. locomotion,forage
231,ter. locomotion,forage
232,ter. locomotion,forage
233,ter. locomotion,forage
234,ter. locomotion,forage
235,ter. locomotion,forage
236,ter. locomotion,forage
237,ter. locomotion,forage
238,ter. locomotion,forage
239,ter. locomotion,forage
240,ter. locomotion,forage
241,ter. locomotion,forage
242,ter. locomotion,forage
243,ter. locomotion,forage
244,ter. locomotion,forage
245,ter. locomotion,forage
246,ter. locomotion,forage
247,ter. locomotion,forage
248,ter. locomotion,forage
249,ter. locomotion,forage
250,ter. locomotion,forage
251,ter. locomotion,forage
252,ter. locomotion,forage
253,ter. locomotion,forage
254,no locomotion,stand
255,no locomotion,stand
256,no locomotion,sit
257,no locomotion,sit
258,no locomotion,sit
259,no locomotion,sit
260,no locomotion,sit
261,no locomotion,sit
262,no locomotion,sit
263,no locomotion,sit
264,no locomotion,sit
265,no locomotion,sit
266,no locomotion,sit
267,no locomotion,sit
268,no locomotion,sit
269,no locomotion,sit
270,no locomotion,sit
271,no locomotion,sit
272,no locomotion,sit
273,no locomotion,sit
274,no locomotion,sit
275,no locomotion,sit
276,no locomotion,body care
277,no locomotion,sit
278,no locomotion,sit
279,no locomotion,body care
280,ter. locomotion,forage
281,ter. locomotion,forage
282,no locomotion,body care
283,ter. locomotion,forage
284,ter. locomotion,forage
285,ter. locomotion,forage
286,ter. locomotion,forage
287,ter. locomotion,forage
288,no locomotion,body care
289,no locomotion,sit
290,no locomotion,sit
291,no locomotion,sit
292,no locomotion,stand
293,no locomotion,body care
294,no locomotion,sit
295,no locomotion,sit
296,no locomotion,sit
297,no locomotion,body care
298,no locomotion,sit
299,no locomotion,sit
300,no locomotion,sit
301,ter. locomotion,forage
302,no locomotion,sit
303,no locomotion,stand
304,no locomotion,sit
305,no locomotion,sit
306,no locomotion,body care
307,no locomotion,stand
308,no locomotion,stand
309,ter. locomotion,forage
310,no locomotion,stand
311,no locomotion,stand
312,ter. locomotion,forage
313,ter. locomotion,forage
314,no locomotion,stand
315,ter. locomotion,forage
316,no locomotion,body care
317,ter. locomotion,forage
318,no locomotion,stand
319,ter. locomotion,forage
320,no locomotion,body care
321,ter. locomotion,forage
322,ter. locomotion,forage
323,ter. locomotion,forage
324,no locomotion,body care
325,ter. locomotion,forage
326,no locomotion,body care
327,no locomotion,stand
328,no locomotion,stand
329,ter. locomotion,forage
330,ter. locomotion,forage
331,no locomotion,body care
332,no locomotion,body care
333,ter. locomotion,forage
334,no locomotion,body care
335,ter. locomotion,forage
336,ter. locomotion,forage
337,ter. locomotion,forage
338,ter. locomotion,forage
339,ter. locomotion,forage
340,no locomotion,stand
341,ter. locomotion,forage
342,ter. locomotion,forage
343,ter. locomotion,forage
344,no locomotion,body care
345,no locomotion,body care
346,ter. locomotion,forage
347,ter. locomotion,forage
348,no locomotion,stand
349,ter. locomotion,forage
350,ter. locomotion,forage
351,ter. locomotion,forage
352,no locomotion,body care
353,ter. locomotion,forage
354,ter. locomotion,forage
355,no locomotion,body care
356,no locomotion,body care
357,no locomotion,body care
358,ter. locomotion,forage
359,ter. locomotion,forage
360,ter. locomotion,forage
361,ter. locomotion,forage
362,ter. locomotion,forage
363,ter. locomotion,forage
364,no locomotion,sit
365,ter. locomotion,forage
366,ter. locomotion,forage
367,ter. locomotion,forage
368,ter. locomotion,forage
369,no locomotion,sit
370,no locomotion,sit
371,ter. locomotion,forage
372,no locomotion,stand
373,no locomotion,stand
374,ter. locomotion,forage
375,no locomotion,body care
376,no locomotion,stand
377,no locomotion,stand
378,no locomotion,stand
379,no locomotion,stand
380,no locomotion,sit
381,ter. locomotion,forage
382,ter. locomotion,forage
383,no locomotion,stand
384,no locomotion,body care
385,no locomotion,sit
386,no locomotion,sit
387,no locomotion,stand
388,no locomotion,stand
389,no locomotion,stand
390,no locomotion,stand
391,no locomotion,sit
392,no locomotion,sit
393,no locomotion,sit
394,ter. locomotion,forage
395,ter. locomotion,forage
396,ter. locomotion,forage
397,ter. locomotion,forage
398,ter. locomotion,forage
399,ter. locomotion,forage
400,ter. locomotion,forage
401,ter. locomotion,forage
402,ter. locomotion,forage
403,ter. locomotion,forage
404,no locomotion,body care
405,no locomotion,body care
406,ter. locomotion,forage
407,fly,fly
408,no locomotion,body care
409,no locomotion,sit
410,no locomotion,sit
411,no locomotion,sit
412,ter. locomotion,forage
413,no locomotion,body care
414,no locomotion,stand
415,ter. locomotion,forage
416,ter. locomotion,forage
417,no locomotion,body care
418,ter. locomotion,forage
419,ter. locomotion,forage
420,ter. locomotion,forage
421,ter. locomotion,forage
422,ter. locomotion,forage
423,ter. locomotion,forage
424,ter. locomotion,forage
425,ter. locomotion,forage
426,ter. locomotion,forage
427,no locomotion,sit
428,no locomotion,sit
429,no locomotion,sit
430,no locomotion,sit
431,no locomotion,body care
432,no locomotion,sit
433,no locomotion,sit
434,no locomotion,sit
435,no locomotion,sit
436,no locomotion,sit
437,no locomotion,sit
438,no locomotion,sit
439,ter. locomotion,forage
440,no locomotion,sit
441,no locomotion,sit
442,no locomotion,stand
443,no locomotion,stand
444,no locomotion,sit
445,no locomotion,body care
446,fly,fly
447,no locomotion,stand
448,no locomotion,body care
449,no locomotion,body care
450,no locomotion,body care
451,no locomotion,stand
452,no locomotion,body care
453,no locomotion,stand
454,no locomotion,stand
455,ter. locomotion,forage
456,ter. locomotion,forage
457,ter. locomotion,forage
458,no locomotion,stand
459,no locomotion,sit
460,no locomotion,sit
461,no locomotion,body care
462,ter. locomotion,forage
463,no locomotion,stand
464,ter. locomotion,forage
465,no locomotion,stand
466,no locomotion,sit
467,ter. locomotion,forage
468,no locomotion,body care
469,no locomotion,body care
470,ter. locomotion,forage
471,ter. locomotion,forage
472,ter. locomotion,forage
473,no locomotion,sit
474,no locomotion,stand
475,ter. locomotion,forage
476,ter. locomotion,forage
477,ter. locomotion,forage
478,ter. locomotion,forage
479,no locomotion,body care
480,ter. locomotion,forage
481,ter. locomotion,forage
482,no locomotion,body care
483,ter. locomotion,forage
484,no locomotion,body care
485,fly,fly
486,ter. locomotion,forage
487,ter. locomotion,forage
488,ter. locomotion,forage
489,ter. locomotion,forage
490,no locomotion,stand
491,no locomotion,body care
492,no locomotion,sit
493,no locomotion,body care
494,ter. locomotion,forage
495,ter. locomotion,forage
496,no locomotion,body care
497,ter. locomotion,forage
498,ter. locomotion,forage
499,ter. locomotion,forage
500,ter. locomotion,forage
501,ter. locomotion,forage
502,ter. locomotion,body care
503,no locomotion,body care
504,no locomotion,sit
505,no locomotion,body care
506,no locomotion,sit
507,no locomotion,stand
508,no locomotion,stand
509,no locomotion,body care
510,no locomotion,sit
511,no locomotion,body care
512,no locomotion,stand
513,no locomotion,stand
514,no locomotion,stand
515,no locomotion,sit
516,no locomotion,stand
517,no locomotion,stand
518,no locomotion,sit
519,no locomotion,sit
520,ter. locomotion,forage
521,no locomotion,body care
522,no locomotion,sit
523,no locomotion,sit
524,no locomotion,body care
525,no locomotion,sit
526,no locomotion,body care
527,no locomotion,stand
528,ter. locomotion,forage
529,ter. locomotion,forage
530,ter. locomotion,forage
531,ter. locomotion,forage
532,ter. locomotion,forage
533,ter. locomotion,forage
534,ter. locomotion,forage
535,ter. locomotion,forage
536,ter. locomotion,forage
537,ter. locomotion,forage
538,ter. locomotion,forage
539,ter. locomotion,forage
540,ter. locomotion,forage
541,ter. locomotion,forage
542,ter. locomotion,forage
543,no locomotion,sit
544,ter. locomotion,forage
545,ter. locomotion,forage
546,ter. locomotion,forage
547,ter. locomotion,forage
548,ter. locomotion,forage
549,ter. locomotion,forage
550,ter. locomotion,forage
551,ter. locomotion,forage
552,ter. locomotion,forage
553,no locomotion,stand
554,ter. locomotion,forage
555,ter. locomotion,forage
556,ter. locomotion,forage
557,no locomotion,body care
558,ter. locomotion,forage
559,ter. locomotion,forage
560,ter. locomotion,forage
561,no locomotion,sit
562,no locomotion,body care
563,no locomotion,body care
564,no locomotion,stand
565,no locomotion,body care
566,no locomotion,body care
567,no locomotion,body care
568,no locomotion,body care
569,no locomotion,stand
570,no locomotion,body care
571,no locomotion,body care
572,no locomotion,body care
573,no locomotion,body care
574,no locomotion,stand
575,fly,fly
576,fly,fly
577,fly,fly
578,fly,fly
579,fly,fly
580,fly,fly
581,fly,fly
582,fly,fly
583,fly,fly
584,fly,fly
585,fly,fly
586,fly,fly
587,fly,fly
588,ter. locomotion,sit
589,no locomotion,body care
590,ter. locomotion,forage
591,ter. locomotion,forage
592,ter. locomotion,forage
593,ter. locomotion,forage
594,ter. locomotion,forage
595,ter. locomotion,forage
596,ter. locomotion,forage
597,ter. locomotion,forage
598,ter. locomotion,forage
599,ter. locomotion,forage
600,ter. locomotion,forage
601,ter. locomotion,forage
602,ter. locomotion,forage
603,ter. locomotion,forage
604,ter. locomotion,forage
605,ter. locomotion,forage
606,ter. locomotion,forage
607,ter. locomotion,forage
608,ter. locomotion,forage
609,ter. locomotion,forage
610,ter. locomotion,forage
611,ter. locomotion,forage
612,ter. locomotion,forage
613,ter. locomotion,forage
614,ter. locomotion,forage
615,ter. locomotion,forage
616,ter. locomotion,forage
617,ter. locomotion,forage
618,ter. locomotion,forage
619,ter. locomotion,forage
620,ter. locomotion,forage
621,ter. locomotion,forage
622,ter. locomotion,forage
623,ter. locomotion,forage
624,ter. locomotion,forage
625,ter. locomotion,forage
626,ter. locomotion,forage
627,ter. locomotion,forage
628,ter. locomotion,forage
629,ter. locomotion,forage
630,no locomotion,body care
631,ter. locomotion,forage
632,ter. locomotion,forage
633,ter. locomotion,forage
634,ter. locomotion,forage
635,ter. locomotion,forage
636,ter. locomotion,forage
637,ter. locomotion,forage
638,ter. locomotion,forage
639,ter. locomotion,forage
640,ter. locomotion,forage
641,ter. locomotion,forage
642,ter. locomotion,forage
643,no locomotion,body care
644,ter. locomotion,forage
645,ter. locomotion,forage
646,ter. locomotion,forage
647,ter. locomotion,forage
648,ter. locomotion,forage
649,no locomotion,body care
650,fly,fly
651,no locomotion,stand
652,no locomotion,body care
653,ter. locomotion,forage
654,no locomotion,stand
655,no locomotion,stand
656,ter. locomotion,forage
657,ter. locomotion,forage
658,ter. locomotion,forage
659,ter. locomotion,forage
660,ter. locomotion,forage
661,no locomotion,sit
662,no locomotion,sit
663,no locomotion,sit
664,ter. locomotion,forage
665,ter. locomotion,forage
666,ter. locomotion,forage
667,ter. locomotion,forage
668,no locomotion,sit
669,no locomotion,sit
670,no locomotion,sit
671,no locomotion,sit
672,ter. locomotion,forage
673,ter. locomotion,forage
674,no locomotion,body care
675,no locomotion,stand
676,no locomotion,stand
677,no locomotion,body care
678,ter. locomotion,forage
679,ter. locomotion,forage
680,ter. locomotion,forage
681,ter. locomotion,forage
682,no locomotion,sit
683,no locomotion,body care
684,no locomotion,stand
685,no locomotion,stand
686,ter. locomotion,forage
687,ter. locomotion,forage
688,ter. locomotion,forage
689,ter. locomotion,forage
690,no locomotion,stand
691,no locomotion,stand
692,no locomotion,stand
693,no locomotion,stand
694,no locomotion,stand
695,ter. locomotion,forage
696,no locomotion,stand
697,no locomotion,body care
698,no locomotion,body care
699,no locomotion,body care
700,no locomotion,body care
701,ter. locomotion,forage
702,no locomotion,stand
703,no locomotion,stand
704,no locomotion,stand
705,no locomotion,stand
706,ter. locomotion,forage
707,ter. locomotion,forage
708,ter. locomotion,forage
709,ter. locomotion,forage
710,ter. locomotion,forage
711,ter. locomotion,forage
712,no locomotion,body care
713,ter. locomotion,forage
714,ter. locomotion,forage
715,ter. locomotion,forage
716,ter. locomotion,forage
717,ter. locomotion,forage
718,ter. locomotion,forage
719,ter. locomotion,sit
720,ter. locomotion,forage
721,no locomotion,body care
722,no locomotion,sit
723,ter. locomotion,forage
724,ter. locomotion,forage
725,ter. locomotion,forage
726,no locomotion,body care
727,no locomotion,body care
728,no locomotion,body care
729,no locomotion,body care
730,ter. locomotion,forage
731,no locomotion,body care
732,ter. locomotion,forage
733,ter. locomotion,forage
734,ter. locomotion,forage
735,no locomotion,body care
736,ter. locomotion,forage
737,ter. locomotion,forage
738,no locomotion,sit
739,ter. locomotion,forage
740,no locomotion,body care
741,no locomotion,body care
742,ter. locomotion,forage
743,ter. locomotion,forage
744,ter. locomotion,forage
745,ter. locomotion,forage
746,fly,fly
747,ter. locomotion,forage
748,ter. locomotion,forage
749,no locomotion,sit
750,no locomotion,sit
751,no locomotion,sit
752,no locomotion,body care
753,no locomotion,body care
754,no locomotion,sit
755,no locomotion,sit
756,no locomotion,stand
757,no locomotion,stand
758,no locomotion,stand
759,ter. locomotion,forage
760,no locomotion,stand
761,no locomotion,stand
762,no locomotion,stand
763,no locomotion,sit
764,no locomotion,sit
765,no locomotion,stand
766,no locomotion,stand
767,no locomotion,body care
768,no locomotion,body care
769,ter. locomotion,forage
770,ter. locomotion,forage
771,ter. locomotion,forage
772,ter. locomotion,forage
773,ter. locomotion,forage
774,ter. locomotion,forage
775,ter. locomotion,forage
776,ter. locomotion,forage
777,ter. locomotion,forage
778,ter. locomotion,forage
779,ter. locomotion,forage
780,ter. locomotion,forage
781,ter. locomotion,forage
782,ter. locomotion,forage
783,ter. locomotion,forage
784,ter. locomotion,forage
785,ter. locomotion,forage
786,ter. locomotion,forage
787,ter. locomotion,forage
788,ter. locomotion,forage
789,ter. locomotion,forage
790,ter. locomotion,forage
791,ter. locomotion,forage
792,ter. locomotion,forage
793,ter. locomotion,forage
794,ter. locomotion,forage
795,ter. locomotion,forage
796,ter. locomotion,forage
797,ter. locomotion,forage
798,ter. locomotion,forage
799,ter. locomotion,forage
800,ter. locomotion,forage
801,ter. locomotion,forage
802,no locomotion,sit
803,ter. locomotion,forage
804,ter. locomotion,forage
805,ter. locomotion,forage
806,ter. locomotion,forage
807,no locomotion,body care
808,ter. locomotion,forage
809,ter. locomotion,forage
810,ter. locomotion,forage
811,ter. locomotion,forage
812,no locomotion,body care
813,ter. locomotion,forage
814,ter. locomotion,forage
815,ter. locomotion,forage
816,ter. locomotion,forage
817,ter. locomotion,forage
818,ter. locomotion,forage
819,no locomotion,body care
820,ter. locomotion,forage
821,ter. locomotion,forage
822,ter. locomotion,forage
823,ter. locomotion,forage
824,ter. locomotion,forage
825,ter. locomotion,forage
826,ter. locomotion,forage
827,ter. locomotion,forage
828,ter. locomotion,forage
829,ter. locomotion,forage
830,ter. locomotion,forage
831,ter. locomotion,forage
832,ter. locomotion,forage
833,ter. locomotion,forage
834,ter. locomotion,forage
835,ter. locomotion,forage
836,ter. locomotion,forage
837,ter. locomotion,forage
838,ter. locomotion,forage
839,ter. locomotion,forage
840,no locomotion,body care
841,ter. locomotion,forage
842,ter. locomotion,forage
843,ter. locomotion,forage
844,ter. locomotion,forage
845,ter. locomotion,forage
846,ter. locomotion,forage
847,ter. locomotion,forage
848,ter. locomotion,forage
849,ter. locomotion,forage
850,ter. locomotion,forage
851,ter. locomotion,forage
852,ter. locomotion,forage
853,ter. locomotion,forage
854,ter. locomotion,forage
855,ter. locomotion,forage
856,ter. locomotion,forage
857,ter. locomotion,forage
858,ter. locomotion,forage
859,ter. locomotion,forage
860,ter. locomotion,forage
861,ter. locomotion,forage
862,ter. locomotion,forage
863,ter. locomotion,forage
864,ter. locomotion,forage
865,no locomotion,sit
866,no locomotion,sit
867,ter. locomotion,forage
868,no locomotion,sit
869,ter. locomotion,forage
870,no locomotion,body care
871,ter. locomotion,forage
872,no locomotion,sit
873,ter. locomotion,forage
874,ter. locomotion,forage
875,ter. locomotion,forage
876,ter. locomotion,forage
877,no locomotion,body care
878,no locomotion,stand
879,ter. locomotion,forage
880,no locomotion,sit
881,no locomotion,stand
882,ter. locomotion,forage
883,no locomotion,sit
884,ter. locomotion,forage
885,no locomotion,sit
886,no locomotion,sit
887,no locomotion,sit
888,ter. locomotion,forage
889,no locomotion,sit
890,ter. locomotion,forage
891,no locomotion,sit
892,no locomotion,sit
893,ter. locomotion,forage
894,ter. locomotion,forage
895,ter. locomotion,forage
896,no locomotion,body care
897,no locomotion,sit
898,no locomotion,sit
899,no locomotion,body care
900,no locomotion,stand
901,no locomotion,stand
902,ter. locomotion,forage
903,ter. locomotion,forage
904,no locomotion,sit
905,ter. locomotion,forage
906,ter. locomotion,forage
907,ter. locomotion,forage
908,ter. locomotion,forage
909,ter. locomotion,forage
910,ter. locomotion,forage
911,ter. locomotion,forage
912,ter. locomotion,forage
913,no locomotion,stand
914,ter. locomotion,forage
915,ter. locomotion,forage
916,ter. locomotion,forage
917,ter. locomotion,forage
918,ter. locomotion,forage
919,ter. locomotion,forage
920,ter. locomotion,forage
921,ter. locomotion,forage
922,ter. locomotion,forage
923,ter. locomotion,forage
924,ter. locomotion,forage
925,ter. locomotion,forage
926,ter. locomotion,forage
927,ter. locomotion,forage
928,ter. locomotion,forage
929,ter. locomotion,forage
930,ter. locomotion,forage
931,ter. locomotion,forage
932,ter. locomotion,forage
933,ter. locomotion,forage
934,ter. locomotion,forage
935,ter. locomotion,forage
936,ter. locomotion,forage
937,ter. locomotion,forage
938,ter. locomotion,forage
939,ter. locomotion,forage
940,ter. locomotion,forage
941,ter. locomotion,forage
942,ter. locomotion,forage
943,ter. locomotion,forage
944,ter. locomotion,forage
945,ter. locomotion,forage
946,ter. locomotion,forage
947,ter. locomotion,forage
948,ter. locomotion,forage
949,ter. locomotion,forage
950,ter. locomotion,forage
951,ter. locomotion,forage
952,ter. locomotion,forage
953,ter. locomotion,forage
954,ter. locomotion,forage
955,ter. locomotion,forage
956,ter. locomotion,forage
957,ter. locomotion,forage
958,no locomotion,body care
959,no locomotion,body care
960,ter. locomotion,forage
961,no locomotion,body care
962,ter. locomotion,forage
963,ter. locomotion,forage
964,ter. locomotion,forage
965,ter. locomotion,forage
966,ter. locomotion,forage
967,no locomotion,body care
968,ter. locomotion,forage
969,ter. locomotion,forage
970,ter. locomotion,forage
971,ter. locomotion,forage
972,ter. locomotion,forage
973,ter. locomotion,forage
974,ter. locomotion,forage
975,ter. locomotion,forage
976,ter. locomotion,forage
977,ter. locomotion,forage
978,ter. locomotion,forage
979,ter. locomotion,forage
980,ter. locomotion,forage
981,ter. locomotion,forage
982,ter. locomotion,forage
983,ter. locomotion,forage
984,ter. locomotion,forage
985,ter. locomotion,forage
986,ter. locomotion,forage
987,no locomotion,body care
988,no locomotion,body care
989,no locomotion,body care
990,ter. locomotion,forage
991,no locomotion,body care
992,no locomotion,body care
993,ter. locomotion,forage
994,no locomotion,body care
995,no locomotion,body care
996,no locomotion,body care
997,no locomotion,body care
998,no locomotion,body care
999,no locomotion,body care
1000,no locomotion,stand
1001,no locomotion,sit
1002,no locomotion,sit
1003,ter. locomotion,forage
1004,ter. locomotion,forage
1005,ter. locomotion,forage
1006,no locomotion,body care
1007,no locomotion,sit
1008,no locomotion,body care
1009,no locomotion,sit
1010,no locomotion,sit
1011,ter. locomotion,forage
1012,no locomotion,stand
1013,no locomotion,body care
1014,no locomotion,stand
1015,no locomotion,stand
1016,no locomotion,stand
1017,no locomotion,stand
1018,no locomotion,stand
1019,no locomotion,body care
1020,no locomotion,sit
1021,no locomotion,sit
1022,no locomotion,sit
1023,no locomotion,stand
1024,no locomotion,stand
1025,no locomotion,stand
1026,ter. locomotion,forage
1027,no locomotion,stand
1028,no locomotion,stand
1029,no locomotion,body care
1030,no locomotion,body care
1031,no locomotion,body care
1032,ter. locomotion,forage
1033,ter. locomotion,forage
1034,ter. locomotion,forage
1035,no locomotion,body care
1036,ter. locomotion,body care
1037,ter. locomotion,forage
1038,ter. locomotion,forage
1039,ter. locomotion,forage
1040,ter. locomotion,forage
1041,ter. locomotion,forage
1042,ter. locomotion,forage
1043,ter. locomotion,forage
1044,ter. locomotion,forage
1045,no locomotion,body care
1046,ter. locomotion,forage
1047,ter. locomotion,forage
1048,no locomotion,body care
1049,ter. locomotion,forage
1050,ter. locomotion,forage
1051,no locomotion,stand
1052,ter. locomotion,forage
1053,ter. locomotion,forage
1054,ter. locomotion,forage
1055,ter. locomotion,forage
1056,ter. locomotion,forage
1057,ter. locomotion,forage
1058,ter. locomotion,forage
1059,no locomotion,body care
1060,ter. locomotion,forage
1061,no locomotion,stand
1062,ter. locomotion,forage
1063,ter. locomotion,forage
1064,ter. locomotion,forage
1065,ter. locomotion,forage
1066,ter. locomotion,forage
1067,ter. locomotion,forage
1068,ter. locomotion,forage
1069,ter. locomotion,forage
1070,no locomotion,body care
1071,no locomotion,body care
1072,no locomotion,sit
1073,no locomotion,body care
1074,no locomotion,sit
1075,ter. locomotion,forage
1076,no locomotion,stand
1077,no locomotion,stand
1078,no locomotion,stand
1079,no locomotion,sit
1080,no locomotion,sit
1081,no locomotion,sit
1082,no locomotion,stand
1083,no locomotion,body care
1084,no locomotion,sit
1085,no locomotion,stand
1086,no locomotion,sit
1087,no locomotion,sit
1088,no locomotion,sit
1089,ter. locomotion,forage
1090,no locomotion,sit
1091,no locomotion,sit
1092,no locomotion,body care
1093,no locomotion,sit
1094,ter. locomotion,forage
1095,no locomotion,sit
1096,no locomotion,body care
1097,no locomotion,body care
1098,no locomotion,body care
1099,no locomotion,body care
1100,no locomotion,sit
1101,fly,fly
1102,ter. locomotion,forage
1103,ter. locomotion,forage
1104,ter. locomotion,forage
1105,ter. locomotion,forage
1106,ter. locomotion,forage
1107,ter. locomotion,forage
1108,ter. locomotion,forage
1109,ter. locomotion,forage
1110,ter. locomotion,forage
1111,ter. locomotion,forage
1112,ter. locomotion,forage
1113,ter. locomotion,forage
1114,ter. locomotion,forage
1115,ter. locomotion,forage
1116,ter. locomotion,forage
1117,ter. locomotion,forage
1118,ter. locomotion,forage
1119,ter. locomotion,forage
1120,ter. locomotion,forage
1121,fly,fly
1122,ter. locomotion,forage
1123,no locomotion,sit
1124,no locomotion,sit
1125,no locomotion,sit
1126,no locomotion,sit
1127,no locomotion,sit
1128,ter. locomotion,forage
1129,no locomotion,sit
1130,ter. locomotion,forage
1131,ter. locomotion,forage
1132,ter. locomotion,forage
1133,ter. locomotion,forage
1134,ter. locomotion,forage
1135,ter. locomotion,forage
1136,ter. locomotion,forage
1137,ter. locomotion,forage
1138,ter. locomotion,forage
1139,ter. locomotion,forage
1140,ter. locomotion,forage
1141,ter. locomotion,forage
1142,ter. locomotion,forage
1143,ter. locomotion,forage
1144,ter. locomotion,forage
1145,no locomotion,body care
1146,ter. locomotion,forage
1147,ter. locomotion,forage
1148,ter. locomotion,forage
1149,ter. locomotion,forage
1150,ter. locomotion,forage
1151,ter. locomotion,forage
